ReportingArea,MMWRYear,MMWRQuarter,TuberculosisCurrentQuarter,"Tuberculosis†, Current quarter, flag","Tuberculosis†, Previous 4 quarters Min","Tuberculosis†, Previous 4 quarters Min, flag","Tuberculosis†, Previous 4 quarters Max","Tuberculosis†, Previous 4 quarters Max, flag","Tuberculosis†, Cum 2019","Tuberculosis†, Cum 2019, flag","Tuberculosis†, Cum 2018","Tuberculosis†, Cum 2018, flag",Location 1,Location 2,New Georeferenced Column
LOUISIANA,2019,3,22,,14,,25,,59,,80,,LOUISIANA,,POINT (-91.840238 30.921314)
OKLAHOMA,2019,3,16,,15,,22,,47,,53,,OKLAHOMA,,POINT (-97.508297 35.583449)
TEXAS,2019,3,86,,86,,298,,459,,828,,TEXAS,,POINT (-99.317341 31.447238)
MOUNTAIN,2019,3,62,,62,,95,,234,,295,,,MOUNTAIN,
ARIZONA,2019,3,16,,16,,53,,108,,138,,ARIZONA,,POINT (-111.664616 34.293239)
COLORADO,2019,3,10,,10,,14,,36,,50,,COLORADO,,POINT (-105.547832 38.998552)
IDAHO,2019,3,3,,1,,4,,6,,11,,IDAHO,,POINT (-114.659366 44.389073)
MONTANA,2019,3,1,,0,,1,,1,,4,,MONTANA,,POINT (-109.645127 47.033521)
NEVADA,2019,3,17,,9,,19,,38,,50,,NEVADA,,POINT (-114.916992 39.283294)
NEW MEXICO,2019,3,10,,8,,14,,26,,27,,NEW MEXICO,,POINT (-106.108388 34.421369)
UTAH,2019,3,5,,3,,7,,18,,15,,UTAH,,POINT (-111.678222 39.323779)
WYOMING,2019,3,,-,0,,1,,1,,,-,WYOMING,,POINT (-107.55145 42.999627)
PACIFIC,2019,3,377,,377,,688,,1521,,1842,,,PACIFIC,
ALASKA,2019,3,8,,8,,18,,35,,45,,ALASKA,,POINT (-151.631889 63.631126)
CALIFORNIA,2019,3,282,,282,,580,,1206,,1496,,CALIFORNIA,,POINT (-119.662127 37.211164)
HAWAII,2019,3,20,,20,,26,,68,,94,,HAWAII,,POINT (-157.854309 21.361013)
OREGON,2019,3,16,,11,,23,,48,,57,,OREGON,,POINT (-120.605279 43.940449)
WASHINGTON,2019,3,51,,41,,57,,164,,150,,WASHINGTON,,POINT (-120.592492 47.411715)
AMERICAN SAMOA,2019,3,,-,0,,1,,1,,2,,,AMERICAN SAMOA,
NORTHERN MARIANA ISLANDS,2019,3,8,,6,,15,,36,,41,,NORTHERN MARIANA ISLANDS,,POINT (145.725693 15.1834)
GUAM,2019,3,18,,14,,21,,46,,50,,GUAM,,POINT (144.653198 13.3532)
PUERTO RICO,2019,3,11,,7,,11,,27,,15,,PUERTO RICO,,POINT (-66.414655 18.215692)
U.S. VIRGIN ISLANDS,2019,3,,-,0,,0,,,-,,-,VIRGIN ISLANDS,,POINT (-64.840836 18.060868)
